Gennemsnitlig udgift pr. voksen autist ved brug af botilbud,2018,2019,2020,2021,2022,Velfærdsområde,Sektor
Ingen aktivitets- og samværstilbud,90.107.00 kr.,86.119.00 kr.,86.013.00 kr.,80.543.00 kr.,77.884.00 kr.,Beskæftigelsesområd,I alt
Ingen aktivitets- og samværstilbud,111.938.00 kr.,104.636.00 kr.,99.969.00 kr.,96.182.00 kr.,92.192.00 kr.,Socialområdet,Kommune
Ingen aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Ingen aktivitets- og samværstilbud,15.063.00 kr.,14.037.00 kr.,13.386.00 kr.,13.016.00 kr.,12.529.00 kr.,Socialområdet,Stat
Ingen aktivitets- og samværstilbud,127.002.00 kr.,118.673.00 kr.,113.355.00 kr.,109.197.00 kr.,104.721.00 kr.,Socialområdet,I alt
Ingen aktivitets- og samværstilbud,8.205.00 kr.,7.385.00 kr.,6.429.00 kr.,6.340.00 kr.,5.850.00 kr.,Sundhedsområdet,Kommune
Ingen aktivitets- og samværstilbud,15.705.00 kr.,14.372.00 kr.,13.274.00 kr.,13.159.00 kr.,12.918.00 kr.,Sundhedsområdet,Region
Ingen aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Ingen aktivitets- og samværstilbud,23.910.00 kr.,21.757.00 kr.,19.703.00 kr.,19.499.00 kr.,18.768.00 kr.,Sundhedsområdet,I alt
Ingen aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Ingen aktivitets- og samværstilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Ingen aktivitets- og samværstilbud,30.605.00 kr.,30.460.00 kr.,30.820.00 kr.,30.736.00 kr.,30.140.00 kr.,Uddannelsesområdet,Stat
Ingen aktivitets- og samværstilbud,30.605.00 kr.,30.460.00 kr.,30.820.00 kr.,30.736.00 kr.,30.140.00 kr.,Uddannelsesområdet,I alt
