Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Frørup Byvej 3B,  5871 Frørup",https://www.boliga.dk/adresse/froerup-byvej-3b-5871-froerup-702949575,Villa med 5 værelser,1.595.000 kr.,5,201 m²,1.548 m²,55.241141,10.714509
"Ramsbjergsvinget 10,  3370 Melby",https://www.boliga.dk/adresse/ramsbjergsvinget-10-3370-melby-1516979179,Fritidshus med 3 værelser,1.995.000 kr.,3,80 m²,1.630 m²,55.992813,11.994085
"Svejrupløkke 4,  6200 Aabenraa",https://www.boliga.dk/adresse/svejruploekke-4-6200-aabenraa-1568838002,Villa med 4 værelser,2.295.000 kr.,4,236 m²,18.952 m²,54.996524,9.551653
"Østerhusevej 4,  5953 Tranekær",https://www.boliga.dk/adresse/oesterhusevej-4-5953-tranekaer-239805817,Villa med 7 værelser,2.545.000 kr.,7,192 m²,2.998 m²,55.125933,10.930748
"Halsmose 11,  5600 Faaborg",https://www.boliga.dk/adresse/halsmose-11-5600-faaborg-1388959147,Villa med 6 værelser,2.695.000 kr.,6,236 m²,6.400 m²,55.166774,10.162833
"Sinding Bygade 3,  8600 Silkeborg",https://www.boliga.dk/adresse/sinding-bygade-3-8600-silkeborg-531163539,Villa med 6 værelser,2.895.000 kr.,6,200 m²,10.983 m²,56.208101,9.468973
"Sdr Ilstedmarkvej 6,  6740 Bramming",https://www.boliga.dk/adresse/sdr-ilstedmarkvej-6-6740-bramming-2080686286,Villa med 5 værelser,2.998.000 kr.,5,196 m²,12.103 m²,55.453099,8.741383
"Neder Vrøndingvej 11,  8700 Horsens",https://www.boliga.dk/adresse/neder-vroendingvej-11-8700-horsens-658055088,Landejendom med 5 værelser,3.395.000 kr.,5,190 m²,20.010 m²,55.875166,9.72154
"Sellingbjergvej 8,  4330 Hvalsø",https://www.boliga.dk/adresse/sellingbjergvej-8-4330-hvalsoe-1118962555,Fritidshus med 2 værelser,3.495.000 kr.,2,79 m²,2.578 m²,55.621422,11.894737
"Ny-Ager 44,  3120 Dronningmølle",https://www.boliga.dk/adresse/ny-ager-44-3120-dronningmoelle-1346716852,Fritidshus med 4 værelser,4.800.000 kr.,4,92 m²,2.316 m²,56.08813,12.377726
"Holbølvej 11,  8600 Silkeborg",https://www.boliga.dk/adresse/holboelvej-11-8600-silkeborg-2129327464,Villa med 5 værelser,5.995.000 kr.,5,191 m²,3.364 m²,56.169499,9.49789
"Over Fussingvej 48,  8920 Randers NV",https://www.boliga.dk/adresse/over-fussingvej-48-8920-randers-nv-804233244,Villa med 6 værelser,6.598.000 kr.,6,248 m²,10.957 m²,56.480902,9.888398
"Snøde Bygade 52,  5953 Tranekær",https://www.boliga.dk/adresse/snoede-bygade-52-5953-tranekaer-142466846,Landejendom med 6 værelser,6.700.000 kr.,6,240 m²,126.951 m²,55.083742,10.917546
"Herslev Bygade 17,  4000 Roskilde",https://www.boliga.dk/adresse/herslev-bygade-17-4000-roskilde-646942342,Landejendom med 11 værelser,8.495.000 kr.,11,344 m²,19.249 m²,55.667486,11.98043
"Kampmannsvej 27,  7000 Fredericia",https://www.boliga.dk/adresse/kampmannsvej-27-7000-fredericia-561763769,Villa med 5 værelser,10.900.000 kr.,5,198 m²,1.875 m²,55.545604,9.728316
"Nordmarksvej 3,  4621 Gadstrup",https://www.boliga.dk/adresse/nordmarksvej-3-4621-gadstrup-1116107416,Landejendom med 7 værelser,11.500.000 kr.,7,90 m²,279.042 m²,55.587036,12.083799
"Kellerisvej 96,  3490 Kvistgård",https://www.boliga.dk/adresse/kellerisvej-96-3490-kvistgaard-1134380392,Landejendom med 6 værelser,13.250.000 kr.,6,205 m²,23.932 m²,55.974955,12.506527
"Folehavevej 143,  2960 Rungsted Kyst",https://www.boliga.dk/adresse/folehavevej-143-2960-rungsted-kyst-3346887,Villa med 0 værelser,16.500.000 kr.,0,116 m²,5.000 m²,,
"Hartmannsvej 12,  2800 Kongens Lyngby",https://www.boliga.dk/adresse/hartmannsvej-12-2800-kongens-lyngby-1869933688,Villa med 5 værelser,21.500.000 kr.,5,200 m²,3.733 m²,55.767366,12.486185
"Immortellevej 8,  2950 Vedbæk",https://www.boliga.dk/adresse/immortellevej-8-2950-vedbaek-87434453,Villa med 17 værelser,44.800.000 kr.,17,639 m²,2.758 m²,55.864288,12.558352
"Brohusevej 1,  4173 Fjenneslev",https://www.boliga.dk/adresse/brohusevej-1-4173-fjenneslev-1962993490,Villa med 2 værelser,104.000 kr.,2,102 m²,2.425 m²,55.444187,11.682063
"Vejlevej 163, Riis,  7323 Give",https://www.boliga.dk/adresse/vejlevej-163-7323-give-940545329,Villa med 5 værelser,745.000 kr.,5,127 m²,1.943 m²,55.831434,9.313032
"Lørslev Vesterhede 95,  9800 Hjørring",https://www.boliga.dk/adresse/loerslev-vesterhede-95-9800-hjoerring-1973058100,Villa med 4 værelser,795.000 kr.,4,125 m²,4.157 m²,57.426568,10.055997
"Fyrrevej 24,  9700 Brønderslev",https://www.boliga.dk/adresse/fyrrevej-24-9700-broenderslev-94452929,Landejendom med 4 værelser,795.000 kr.,4,118 m²,27.600 m²,57.23762,9.97395
"Østerbyen 15, Ørding,  7990 Øster Assels",https://www.boliga.dk/adresse/oesterbyen-15-7990-oester-assels-596697987,Villa med 2 værelser,895.000 kr.,2,72 m²,1.781 m²,56.713138,8.773713
"Herningvej 28,  7300 Jelling",https://www.boliga.dk/adresse/herningvej-28-7300-jelling-1292245461,Villa med 4 værelser,895.000 kr.,4,115 m²,3.017 m²,55.768677,9.401204
"Strandvejen 61C, st.. 115., Fanø Bad,  6720 Fanø",https://www.boliga.dk/adresse/strandvejen-61c-st-115-6720-fanoe-1237335100,Fritidshus med 2 værelser,898.000 kr.,2,44 m²,16.076 m²,,
"Sundbyvej 38, Sundby,  7950 Erslev",https://www.boliga.dk/adresse/sundbyvej-38-7950-erslev-483536145,Villa med 6 værelser,1.095.000 kr.,6,137 m²,2.210 m²,56.874795,8.674057
"Marina Fiskenæs Feriepark 120,  6300 Gråsten",https://www.boliga.dk/adresse/marina-fiskenaes-feriepark-120-6300-graasten-1103240714,Fritidshus med 5 værelser,1.195.000 kr.,5,106 m²,2.238 m²,54.919657,9.607201
"Vestergade 19, Frøslev,  6330 Padborg",https://www.boliga.dk/adresse/vestergade-19-6330-padborg-69725729,Villa med 3 værelser,1.250.000 kr.,3,133 m²,4.817 m²,,
"Volstrupvej 21,  9300 Sæby",https://www.boliga.dk/adresse/volstrupvej-21-9300-saeby-700238796,Villa med 4 værelser,1.345.000 kr.,4,204 m²,20.170 m²,57.316287,10.433752
"Pinen 50, Sallingsund,  7870 Roslev",https://www.boliga.dk/adresse/pinen-50-7870-roslev-544124687,Fritidshus med 4 værelser,1.495.000 kr.,4,91 m²,1.805 m²,56.742587,8.859648
"Herredsvej 48, Nyrup,  9600 Aars",https://www.boliga.dk/adresse/herredsvej-48-9600-aars-757508810,Villa med 5 værelser,1.495.000 kr.,5,247 m²,6.205 m²,,
"Hårkjærvej 6, Hoven,  6880 Tarm",https://www.boliga.dk/adresse/haarkjaervej-6-6880-tarm-604574299?e=2218468,Landejendom med 6 værelser,1.595.000 kr.,6,221 m²,13.000 m²,55.843724,8.770876
