Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022,,
Børn og unge med autisme,Samsø,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Samsø,12-17 år,*,*,*,*,*,,
Børn og unge med autisme,Silkeborg,Alder i alt,311,330,353,388,421,,
Børn og unge med autisme,Silkeborg,0-5 år,23,15,22,18,19,,
Børn og unge med autisme,Silkeborg,6-11 år,101,122,122,117,127,,
Børn og unge med autisme,Silkeborg,12-17 år,187,193,209,253,275,,
Børn og unge med autisme,Samsø,Alder i alt,*,*,*,*,*,,
Børn og unge med autisme,Syddjurs,Alder i alt,163,182,194,209,200,,
Børn og unge med autisme,Syddjurs,0-5 år,5,7,8,8,8,,
Børn og unge med autisme,Syddjurs,6-11 år,56,64,62,64,64,,
Børn og unge med autisme,Syddjurs,12-17 år,102,111,124,137,128,,
Børn og unge med autisme,Sønderborg,Alder i alt,256,240,220,217,231,,
Børn og unge med autisme,Sønderborg,0-5 år,5,5,*,7,8,,
Børn og unge med autisme,Sønderborg,6-11 år,77,58,*,43,49,,
Børn og unge med autisme,Sønderborg,12-17 år,174,177,168,167,174,,
Børn og unge med autisme,Skanderborg,0-5 år,9,9,9,10,4,,
Børn og unge med autisme,Skanderborg,6-11 år,86,93,99,90,86,,
Børn og unge med autisme,Skanderborg,12-17 år,158,172,174,191,201,,
Børn og unge med autisme,Skive,Alder i alt,113,123,124,132,150,,
Børn og unge med autisme,Skive,0-5 år,6,7,*,6,5,,
Børn og unge med autisme,Skive,6-11 år,39,36,*,38,37,,
Børn og unge med autisme,Skive,12-17 år,68,80,84,88,108,,
Børn og unge med autisme,Skanderborg,Alder i alt,253,274,282,291,291,,
Børn og unge med autisme,Slagelse,0-5 år,15,25,17,32,25,,
Børn og unge med autisme,Slagelse,6-11 år,143,150,171,188,190,,
Børn og unge med autisme,Slagelse,12-17 år,227,265,312,352,403,,
Børn og unge med autisme,Solrød,Alder i alt,107,116,122,132,139,,
Børn og unge med autisme,Solrød,0-5 år,7,6,9,10,7,,
Børn og unge med autisme,Solrød,6-11 år,34,31,30,32,36,,
Børn og unge med autisme,Solrød,12-17 år,66,79,83,90,96,,
Børn og unge med autisme,Slagelse,Alder i alt,385,440,500,572,618,,
Børn og unge med autisme,Sorø,0-5 år,11,7,10,7,7,,
Børn og unge med autisme,Sorø,6-11 år,66,80,79,89,77,,
Børn og unge med autisme,Sorø,12-17 år,106,109,127,130,149,,
Børn og unge med autisme,Stevns,Alder i alt,101,113,110,118,121,,
Børn og unge med autisme,Stevns,0-5 år,5,8,6,7,7,,
Børn og unge med autisme,Stevns,6-11 år,28,32,31,36,37,,
Børn og unge med autisme,Stevns,12-17 år,68,73,73,75,77,,
Børn og unge med autisme,Sorø,Alder i alt,183,196,216,226,233,,
Børn og unge med autisme,Thisted,Alder i alt,86,103,106,120,144,,
Børn og unge med autisme,Thisted,0-5 år,0,0,*,4,9,,
Børn og unge med autisme,Thisted,6-11 år,23,32,*,26,29,,
Børn og unge med autisme,Thisted,12-17 år,63,71,71,90,106,,
Børn og unge med autisme,Tårnby,Alder i alt,167,171,166,182,193,,
Børn og unge med autisme,Tårnby,0-5 år,8,8,7,8,10,,
Børn og unge med autisme,Tårnby,6-11 år,47,56,59,63,62,,
Børn og unge med autisme,Tårnby,12-17 år,112,107,100,111,121,,
Børn og unge med autisme,Struer,0-5 år,8,7,6,9,10,,
Børn og unge med autisme,Struer,6-11 år,39,39,49,44,45,,
Børn og unge med autisme,Struer,12-17 år,47,58,68,80,84,,
Børn og unge med autisme,Svendborg,Alder i alt,69,63,72,76,83,,
Børn og unge med autisme,Svendborg,0-5 år,4,*,8,8,5,,
Børn og unge med autisme,Svendborg,6-11 år,16,*,15,22,29,,
Børn og unge med autisme,Svendborg,12-17 år,49,46,49,46,49,,
Børn og unge med autisme,Struer,Alder i alt,94,104,123,133,139,,
Børn og unge med autisme,Tønder,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Tønder,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Tønder,12-17 år,85,73,67,64,68,,
Børn og unge med autisme,Vallensbæk,Alder i alt,76,88,90,88,104,,
Børn og unge med autisme,Vallensbæk,0-5 år,10,11,9,8,14,,
Børn og unge med autisme,Vallensbæk,6-11 år,26,26,28,28,33,,
Børn og unge med autisme,Vallensbæk,12-17 år,40,51,53,52,57,,
Børn og unge med autisme,Tønder,Alder i alt,115,107,90,90,99,,
Børn og unge med autisme,Varde,0-5 år,3,3,5,8,10,,
Børn og unge med autisme,Varde,6-11 år,43,35,41,33,43,,
Børn og unge med autisme,Varde,12-17 år,68,77,84,111,119,,
Børn og unge med autisme,Vejen,Alder i alt,102,99,115,130,135,,
Børn og unge med autisme,Vejen,0-5 år,4,*,4,5,6,,
Børn og unge med autisme,Vejen,6-11 år,36,*,34,37,39,,
Børn og unge med autisme,Vejen,12-17 år,62,70,77,88,90,,
Børn og unge med autisme,Varde,Alder i alt,114,115,130,152,172,,
Børn og unge med autisme,Vejle,0-5 år,8,8,11,12,10,,
