Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude,kommune
"Skovvej 29, Sunddraget,  7790 Thyholm",https://www.boliga.dk/adresse/skovvej-29-7790-thyholm-1389842497,Fritidshus med 4 værelser,895.000 kr.,4,78 m²,Ejerudgift: 1.593 kr. / md.,,,
"Sejlstrupvej 140, Sejlstrup,  9480 Løkken",https://www.boliga.dk/adresse/sejlstrupvej-140-9480-loekken-1274992136,Landejendom med 9 værelser,950.000 kr.,9,196 m²,7.000 m²,,,
"Radbyvej 54, Håstrup,  5600 Faaborg",https://www.boliga.dk/adresse/radbyvej-54-5600-faaborg-518049632,Villa med 6 værelser,995.000 kr.,6,142 m²,8.211 m²,55.16159,10.210718,Faaborg-Midtfyn Kommune
"Ternevej 11, Vendal,  7860 Spøttrup",https://www.boliga.dk/adresse/ternevej-11-7860-spoettrup-1071696780,Fritidshus med 4 værelser,995.000 kr.,4,86 m²,Ejerudgift: 1.016 kr. / md.,56.590074,8.705244,Skive Kommune
"Nordlundevej 6D,  4913 Horslunde",https://www.boliga.dk/adresse/nordlundevej-6d-4913-horslunde-74319360,Villa med 6 værelser,995.000 kr.,6,188 m²,2.177 m²,54.90751,11.214693,Lolland Kommune
"Brydbjergvej 1,  7755 Bedsted Thy",https://www.boliga.dk/adresse/brydbjergvej-1-7755-bedsted-thy-560426751,Villa med 8 værelser,1.075.000 kr.,8,308 m²,5.452 m²,56.81357,8.420481,Thisted Kommune
"Ettehavevej 6, Slemminge,  4990 Sakskøbing",https://www.boliga.dk/adresse/ettehavevej-6-4990-sakskoebing-531989444,Villa med 3 værelser,1.095.000 kr.,3,215 m²,4.614 m²,,,
"Eriknauervej 4,  8700 Horsens",https://www.boliga.dk/adresse/eriknauervej-4-8700-horsens-343555009,Villa med 6 værelser,1.095.000 kr.,6,160 m²,2.490 m²,55.85271,9.75297,Horsens Kommune
"Kejlstrupvej 31A + Østervej 3,  8410 Rønde",https://www.boliga.dk/adresse/kejlstrupvej-31a---3-8410-roende-4059873,Villa med 9 værelser,1.148.000 kr.,9,309 m²,Ejerudgift: 2.464 kr. / md.,,,
"Vidjeparken 68,  9560 Hadsund",https://www.boliga.dk/adresse/vidjeparken-68-9560-hadsund-209322838,Fritidshus med 4 værelser,1.150.000 kr.,4,105 m²,Ejerudgift: 1.113 kr. / md.,56.722327,10.321203,Mariagerfjord Kommune
"Fritidshaven 78,  2640 Hedehusene",https://www.boliga.dk/adresse/fritidshaven-78-2640-hedehusene-1553935370,Fritidshus med 3 værelser,1.195.000 kr.,3,45 m²,Ejerudgift: 528 kr. / md.,55.660887,12.206212,Høje-Taastrup Kommune
"Vindblæsvej 64,  9670 Løgstør",https://www.boliga.dk/adresse/vindblaesvej-64-9670-loegstoer-1609151210,Villa med 6 værelser,1.200.000 kr.,6,158 m²,2.219 m²,56.956767,9.261829,Vesthimmerlands Kommune
"Korsvej 17, Emmerbølle,  5953 Tranekær",https://www.boliga.dk/adresse/korsvej-17-5953-tranekaer-352169236,Villa med 5 værelser,1.245.000 kr.,5,160 m²,2.001 m²,55.03061,10.858315,Langeland Kommune
"Frederiksberg 51,  5474 Veflinge",https://www.boliga.dk/adresse/frederiksberg-51-5474-veflinge-699631687,Landejendom med 6 værelser,1.295.000 kr.,6,143 m²,54.500 m²,55.469519,10.154886,Nordfyns Kommune
"Blomstervangen 80, Jegum,  6840 Oksbøl",https://www.boliga.dk/adresse/blomstervangen-80-6840-oksboel-2116027692,Fritidshus med 4 værelser,1.345.000 kr.,4,81 m²,Ejerudgift: 1.490 kr. / md.,55.664085,8.323829,Varde Kommune
"Sygehusvej 23,  8950 Ørsted",https://www.boliga.dk/adresse/sygehusvej-23-8950-oersted-2027676188,Villa med 7 værelser,1.395.000 kr.,7,150 m²,1.882 m²,56.503572,10.331715,Norddjurs Kommune
"Husbyvej 12B og 12A, Skerping,  9690 Fjerritslev",https://www.boliga.dk/adresse/husbyvej-12b-9690-fjerritslev-1859332493,Villa med 5 værelser,1.450.000 kr.,5,181 m²,2.878 m²,,,
"Nedervej 26, Mjels,  6430 Nordborg",https://www.boliga.dk/adresse/nedervej-26-6430-nordborg-972300878,Villa med 5 værelser,1.495.000 kr.,5,173 m²,1.500 m²,,,
"Nyrupvej 119, Venslev,  4243 Rude",https://www.boliga.dk/adresse/nyrupvej-119-4243-rude-747070875,Villa med 3 værelser,1.595.000 kr.,3,165 m²,3.435 m²,55.250952,11.477875,Slagelse Kommune
"Skolegade 1,  7550 Sørvad",https://www.boliga.dk/adresse/skolegade-1-7550-soervad-1699085480,Villa med 6 værelser,1.598.000 kr.,6,164 m²,2.029 m²,56.260634,8.65723,Herning Kommune
"Hornelund 59, Horne,  6800 Varde",https://www.boliga.dk/adresse/hornelund-59-6800-varde-1762562873,Landejendom med 5 værelser,1.795.000 kr.,5,139 m²,8.483 m²,55.72219,8.544228,Varde Kommune
"Voldtoftevej 44, Flemløse,  5620 Glamsbjerg",https://www.boliga.dk/adresse/voldtoftevej-44-5620-glamsbjerg-791619594,Villa med 6 værelser,1.795.000 kr.,6,215 m²,2.674 m²,55.240013,10.082237,Assens Kommune
"Nørre Skovvej 3,  6630 Rødding",https://www.boliga.dk/adresse/noerre-skovvej-3-6630-roedding-941662531,Landejendom med 3 værelser,1.950.000 kr.,3,88 m²,84.826 m²,55.346375,9.008433,Vejen Kommune
"Bonnesigvej 19, Resen,  7600 Struer",https://www.boliga.dk/adresse/bonnesigvej-19-7600-struer-1920474791,Landejendom med 8 værelser,1.975.000 kr.,8,313 m²,56.500 m²,,,
"Kelleklintevej 59,  4490 Jerslev Sjælland",https://www.boliga.dk/adresse/kelleklintevej-59-4490-jerslev-sjaelland-2043440734,Villa med 7 værelser,1.995.000 kr.,7,236 m²,5.710 m²,55.641744,11.233103,Kalundborg Kommune
"Trollesøvej 13, Skovgdr Mark,  5610 Assens",https://www.boliga.dk/adresse/trollesoevej-13-5610-assens-97333234,Villa med 6 værelser,1.995.000 kr.,6,259 m²,9.133 m²,,,
"Borgmesterlodden 20,  4500 Nykøbing Sj",https://www.boliga.dk/adresse/borgmesterlodden-20-4500-nykoebing-sj-266567583,Fritidshus med 5 værelser,1.995.000 kr.,5,70 m²,Ejerudgift: 1.845 kr. / md.,55.930946,11.696685,Odsherred Kommune
"Højvej 14, Tæbring,  7900 Nykøbing M",https://www.boliga.dk/adresse/hoejvej-14-7900-nykoebing-m-1793186400,Landejendom med 5 værelser,1.995.000 kr.,5,162 m²,10.000 m²,,,
"Mulebyvej 48, under udstykning, Muleby,  3700 Rønne",https://www.boliga.dk/adresse/mulebyvej-48-3700-roenne-986683495,Landejendom med 10 værelser,1.995.000 kr.,10,267 m²,30.000 m²,,,
"Vestergade 32,  6040 Egtved",https://www.boliga.dk/adresse/vestergade-32-6040-egtved-1184287172,Landejendom med 3 værelser,1.995.000 kr.,3,125 m²,23.518 m²,55.616292,9.299517,Vejle Kommune
"Møllegårdsvej 2,  9750 Østervrå",https://www.boliga.dk/adresse/moellegaardsvej-2-9750-oestervraa-2107577782,Landejendom med 6 værelser,2.195.000 kr.,6,160 m²,75.432 m²,57.336618,10.224829,Frederikshavn Kommune
"Grøngrøftvej 9, Felsted,  6200 Aabenraa",https://www.boliga.dk/adresse/groengroeftvej-9-6200-aabenraa-1700512831,Villa med 9 værelser,2.245.000 kr.,9,273 m²,9.750 m²,,,
"Nonboevej 8, Fanø Bad,  6720 Fanø",https://www.boliga.dk/adresse/nonboevej-8-6720-fanoe-1824954544,Fritidshus med 4 værelser,2.345.000 kr.,4,70 m²,Ejerudgift: 1.934 kr. / md.,,,
"Fyrgården 20,  6857 Blåvand",https://www.boliga.dk/adresse/fyrgaarden-20-6857-blaavand-905174931,Fritidshus med 5 værelser,2.395.000 kr.,5,109 m²,Ejerudgift: 3.646 kr. / md.,55.556595,8.126782,Varde Kommune
"Aslundvej 57, Vester Hassing,  9310 Vodskov",https://www.boliga.dk/adresse/aslundvej-57-9310-vodskov-254598214,Villa med 6 værelser,2.480.000 kr.,6,165 m²,2.331 m²,57.081166,10.150875,Aalborg Kommune
"Smidstrupvej 71,  4733 Tappernøje",https://www.boliga.dk/adresse/smidstrupvej-71-4733-tappernoeje-229080088,Villa med 8 værelser,2.495.000 kr.,8,160 m²,15.000 m²,55.15533,11.994514,Næstved Kommune
"Engvej 25,  4930 Maribo",https://www.boliga.dk/adresse/engvej-25-4930-maribo-1730128450,Villa med 4 værelser,2.495.000 kr.,4,175 m²,1.606 m²,54.782155,11.497854,Lolland Kommune
